iter	Passed	Remaining
800	1080	268
801	1081	266
802	1082	265
803	1084	264
804	1085	262
805	1086	261
806	1087	259
807	1087	258
808	1089	257
809	1090	255
810	1090	254
811	1091	252
812	1092	251
813	1093	249
814	1093	248
815	1094	246
816	1095	245
817	1096	243
818	1096	242
819	1097	240
820	1098	239
821	1099	238
822	1099	236
823	1100	235
824	1101	233
825	1102	232
826	1103	230
827	1104	229
828	1105	227
829	1106	226
830	1107	225
831	1107	223
832	1108	222
833	1109	220
834	1110	219
835	1111	217
836	1112	216
837	1112	215
838	1113	213
839	1114	212
840	1115	210
841	1115	209
842	1116	208
843	1117	206
844	1118	205
845	1119	203
846	1120	202
847	1120	200
848	1121	199
849	1122	198
850	1123	196
851	1123	195
852	1124	193
853	1125	192
854	1125	190
855	1126	189
856	1127	188
857	1128	186
858	1129	185
859	1130	184
860	1132	182
861	1132	181
862	1133	179
863	1134	178
864	1135	177
865	1136	175
866	1137	174
867	1138	173
868	1138	171
869	1139	170
870	1140	168
871	1141	167
872	1141	166
873	1142	164
874	1143	163
875	1144	162
876	1145	160
877	1146	159
878	1147	157
879	1148	156
880	1148	155
881	1149	153
882	1150	152
883	1151	151
884	1151	149
885	1152	148
886	1153	146
887	1154	145
888	1155	144
889	1160	143
890	1161	142
891	1162	140
892	1163	139
893	1163	137
894	1164	136
895	1165	135
896	1165	133
897	1166	132
898	1167	131
899	1168	129
900	1168	128
901	1169	127
902	1170	125
903	1170	124
904	1171	122
905	1173	121
906	1174	120
907	1175	119
908	1176	117
909	1177	116
910	1178	115
911	1179	113
912	1180	112
913	1180	111
914	1181	109
915	1183	108
916	1184	107
917	1185	105
918	1186	104
919	1187	103
920	1187	101
921	1188	100
922	1189	99
923	1190	97
924	1191	96
925	1191	95
926	1192	93
927	1193	92
928	1194	91
929	1194	89
930	1195	88
931	1195	87
932	1196	85
933	1197	84
934	1198	83
935	1199	81
936	1199	80
937	1200	79
938	1201	78
939	1202	76
940	1203	75
941	1204	74
942	1205	72
943	1206	71
944	1207	70
945	1207	68
946	1208	67
947	1209	66
948	1210	65
949	1211	63
950	1212	62
951	1213	61
952	1214	59
953	1215	58
954	1215	57
955	1216	56
956	1217	54
957	1218	53
958	1219	52
959	1219	50
960	1220	49
961	1221	48
962	1222	46
963	1224	45
964	1225	44
965	1226	43
966	1226	41
967	1228	40
968	1228	39
969	1229	38
970	1230	36
971	1231	35
972	1231	34
973	1232	32
974	1233	31
975	1234	30
976	1234	29
977	1235	27
978	1236	26
979	1237	25
980	1237	23
981	1238	22
982	1239	21
983	1239	20
984	1240	18
985	1241	17
986	1242	16
987	1243	15
988	1244	13
989	1244	12
990	1245	11
991	1246	10
992	1247	8
993	1248	7
994	1249	6
995	1250	5
996	1250	3
997	1251	2
998	1252	1
999	1253	0
